@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute inputs-21 numeric
@attribute inputs-22 numeric
@attribute inputs-23 numeric
@attribute inputs-24 numeric
@attribute inputs-25 numeric
@attribute inputs-26 numeric
@attribute inputs-27 numeric
@attribute inputs-28 numeric
@attribute inputs-29 numeric
@attribute inputs-30 numeric
@attribute inputs-31 numeric
@attribute inputs-32 numeric
@attribute inputs-33 numeric
@attribute inputs-34 numeric
@attribute inputs-35 numeric
@attribute inputs-36 numeric
@attribute inputs-37 numeric
@attribute inputs-38 numeric
@attribute inputs-39 numeric
@attribute inputs-40 numeric
@attribute inputs-41 numeric
@attribute inputs-42 numeric
@attribute inputs-43 numeric
@attribute inputs-44 numeric
@attribute inputs-45 numeric
@attribute inputs-46 numeric
@attribute inputs-47 numeric
@attribute inputs-48 numeric
@attribute inputs-49 numeric
@attribute inputs-50 numeric
@attribute inputs-51 numeric
@attribute inputs-52 numeric
@attribute inputs-53 numeric
@attribute inputs-54 numeric
@attribute inputs-55 numeric
@attribute inputs-56 numeric
@attribute inputs-57 numeric
@attribute inputs-58 numeric
@attribute inputs-59 numeric
@attribute inputs-60 numeric
@attribute inputs-61 numeric
@attribute inputs-62 numeric
@attribute inputs-63 numeric
@attribute inputs-64 numeric
@attribute inputs-65 numeric
@attribute inputs-66 numeric
@attribute inputs-67 numeric
@attribute inputs-68 numeric
@attribute inputs-69 numeric
@attribute inputs-70 numeric
@attribute inputs-71 numeric
@attribute inputs-72 numeric
@attribute inputs-73 numeric
@attribute inputs-74 numeric
@attribute inputs-75 numeric
@attribute inputs-76 numeric
@attribute inputs-77 numeric
@attribute inputs-78 numeric
@attribute inputs-79 numeric
@attribute inputs-80 numeric
@attribute inputs-81 numeric
@attribute inputs-82 numeric
@attribute inputs-83 numeric
@attribute inputs-84 numeric
@attribute inputs-85 numeric
@attribute inputs-86 numeric
@attribute inputs-87 numeric
@attribute inputs-88 numeric
@attribute inputs-89 numeric
@attribute inputs-90 numeric
@attribute inputs-91 numeric
@attribute inputs-92 numeric
@attribute inputs-93 numeric
@attribute inputs-94 numeric
@attribute inputs-95 numeric
@attribute inputs-96 numeric
@attribute inputs-97 numeric
@attribute inputs-98 numeric
@attribute inputs-99 numeric
@attribute inputs-100 numeric
@attribute outputs-1 {0,1,2,3,4,5,6,7}

@data
357,'2019/09/24 10:49:52:667',7,-10004656,-6583169,-9345958,-5657174,-7829369,-8690341,-7772588,-7904172,-7641769,-7706536,-10465203,-9412519,-8166311,-7574689,-6918816,-7182246,-7445158,-8036779,-6653325,-6848389,-7499627,-9413028,-9149597,-5725018,-7372932,-9876924,-11058877,-5271410,-3297622,-6321526,-8618619,-10199198,-9211792,-5594723,-7502974,-10729665,-9349826,-3166813,-2574156,-4217692,-11318707,-10463658,-6127502,-7445420,-8432051,-8104119,-7839668,-7313063,-4942711,-4086624,-11318191,-10726056,-5997459,-7971758,-8695991,-9025729,-8498621,-9220541,-6982550,-5533042,-10724252,-9606029,-7500655,-6711650,-6977653,-8622740,-8952999,-5863298,-4414305,-5992303,-6049608,-2365464,-5921874,-7439494,-7508635,-7181731,-7115938,-7379622,-7507859,-6979713,-4203033,-6439208,-8416602,-10657172,-13554895,-10663875,-8034738,-7969453,-12373454,-9086896,-7821891,-9139813,-10853264,-12106422,-11186356,-8822712,-8428471,-8494522,-9546433,-8892614,?
358,'2019/09/24 10:49:52:700',7,-10004656,-6583169,-9345958,-5657174,-7829369,-8690341,-7772588,-7904172,-7641769,-7706536,-10465203,-9412519,-8166311,-7574689,-6918816,-7182246,-7445158,-8036779,-6653325,-6848389,-7499627,-9413028,-9149597,-5725018,-7372932,-9876924,-11058877,-5271410,-3297622,-6321526,-8618619,-10199198,-9211792,-5594723,-7502974,-10729665,-9349826,-3166813,-2574156,-4217692,-11318707,-10463658,-6127502,-7445420,-8432051,-8104119,-7839668,-7313063,-4942711,-4086624,-11318191,-10726056,-5997459,-7971758,-8695991,-9025729,-8498621,-9220541,-6982550,-5533042,-10724252,-9606029,-7500655,-6711650,-6977653,-8622740,-8952999,-5863298,-4414305,-5992303,-6049608,-2365464,-5921874,-7439494,-7508635,-7181731,-7115938,-7379622,-7507859,-6979713,-4203033,-6439208,-8416602,-10657172,-13554895,-10663875,-8034738,-7969453,-12373454,-9086896,-7821891,-9139813,-10853264,-12106422,-11186356,-8822712,-8428471,-8494522,-9546433,-8892614,?
359,'2019/09/24 10:49:52:733',7,-10004657,-6583167,-9411493,-5722711,-7829370,-8690342,-7772588,-7838636,-7641513,-7772070,-10465204,-9346983,-8166311,-7640481,-6984352,-7247781,-7445159,-7971500,-6653324,-6848645,-7434347,-9347749,-9149341,-5790554,-7372932,-9876925,-11058621,-5336947,-3297623,-6321526,-8553083,-10264734,-9211792,-5594723,-7502973,-10729408,-9349826,-3166813,-2574156,-4217692,-11318963,-10463657,-6127502,-7445164,-8432052,-8104120,-7839669,-7247527,-4942710,-4086624,-11317936,-10726056,-5997458,-7971501,-8695734,-8960193,-8498366,-9220540,-6982550,-5533042,-10724251,-9606029,-7500655,-6711651,-6977653,-8622740,-8887463,-5863298,-4348769,-5992303,-6049608,-2300184,-5921617,-7439494,-7508636,-7181730,-7115938,-7379878,-7573396,-6979712,-4137497,-6373672,-8350811,-10656916,-13554894,-10663874,-8034737,-7969452,-12307918,-9086895,-7821890,-9074277,-10918800,-12106423,-11120820,-8822712,-8428471,-8494777,-9546432,-8892613,?
360,'2019/09/24 10:49:52:768',7,-10004657,-6583167,-9411493,-5722711,-7829370,-8690342,-7772588,-7838636,-7641513,-7772070,-10465204,-9346983,-8166311,-7640481,-6984352,-7247781,-7445159,-7971500,-6653324,-6848645,-7434347,-9347749,-9149341,-5790554,-7372932,-9876925,-11058621,-5336947,-3297623,-6321526,-8553083,-10264734,-9211792,-5594723,-7502973,-10729408,-9349826,-3166813,-2574156,-4217692,-11318963,-10463657,-6127502,-7445164,-8432052,-8104120,-7839669,-7247527,-4942710,-4086624,-11317936,-10726056,-5997458,-7971501,-8695734,-8960193,-8498366,-9220540,-6982550,-5533042,-10724251,-9606029,-7500655,-6711651,-6977653,-8622740,-8887463,-5863298,-4348769,-5992303,-6049608,-2300184,-5921617,-7439494,-7508636,-7181730,-7115938,-7379878,-7573396,-6979712,-4137497,-6373672,-8350811,-10656916,-13554894,-10663874,-8034737,-7969452,-12307918,-9086895,-7821890,-9074277,-10918800,-12106423,-11120820,-8822712,-8428471,-8494777,-9546432,-8892613,?
361,'2019/09/24 10:49:52:801',7,-10004402,-6583168,-9411493,-5657175,-7829370,-8755878,-7838124,-7838892,-7641512,-7706535,-10530484,-9346983,-8231846,-7574945,-6984352,-7182245,-7444903,-7971499,-6653580,-6914182,-7434347,-9413028,-9149341,-5790554,-7372931,-9876925,-11124414,-5336948,-3297622,-6321526,-8618620,-10199197,-9146256,-5594467,-7502974,-10729665,-9349826,-3232349,-2574156,-4217693,-11384499,-10463657,-6127502,-7445164,-8432052,-8235448,-7839668,-7247528,-4942712,-4086369,-11318191,-10726056,-5997458,-7971757,-8695735,-9091522,-8432829,-9220541,-7048087,-5533043,-10724252,-9540492,-7566707,-6712166,-6977654,-8622740,-8887463,-5863299,-4414306,-6057840,-6049607,-2168599,-5789773,-7439237,-7574429,-7181987,-7116195,-7379878,-7639445,-7110786,-4203033,-6373672,-8416347,-10657172,-13554895,-10729410,-8034737,-8034989,-12373455,-9021359,-7821891,-9074277,-10919056,-12106422,-11186356,-8822712,-8428470,-8494777,-9480640,-8892870,?
362,'2019/09/24 10:49:52:833',7,-10004401,-6583168,-9345958,-5722710,-7829369,-8690341,-7772588,-7838637,-7641769,-7772071,-10465204,-9346983,-8231847,-7574689,-6984352,-7182245,-7379367,-7971244,-6653580,-6914181,-7499882,-9413029,-9149341,-5790554,-7372675,-9942461,-11124414,-5402740,-3297366,-6321269,-8618619,-10264734,-9211792,-5594467,-7502973,-10794945,-9350081,-3232349,-2574156,-4217692,-11384499,-10463657,-6127758,-7445163,-8432051,-8235448,-7839668,-7247528,-4942967,-4086368,-11383472,-10725800,-5997459,-7971758,-8695991,-9157058,-8432829,-9220797,-7048086,-5533043,-10789787,-9540493,-7566963,-6712166,-6977654,-8622740,-8887463,-5928835,-4414305,-5992303,-6049607,-2168599,-5723724,-7439236,-7639965,-7247523,-7181730,-7379879,-7639445,-7110786,-4137497,-6373673,-8350811,-10656916,-13554895,-10729410,-8034738,-7969453,-12373453,-9021360,-7821891,-9074277,-10853521,-12106422,-11186356,-8757176,-8428726,-8494521,-9480641,-8892613,?
363,'2019/09/24 10:49:52:867',7,-10004657,-6583168,-9411494,-5657175,-7829370,-8755877,-7772588,-7838637,-7641514,-7772071,-10464948,-9346983,-8166310,-7574689,-6984352,-7182245,-7444902,-7971243,-6653581,-6848645,-7499883,-9478565,-9149341,-5790555,-7372931,-10007998,-11189950,-5337203,-3297622,-6321269,-8618620,-10199454,-9146512,-5594467,-7502973,-10794944,-9349826,-3232349,-2574156,-4283229,-11318963,-10398121,-6127503,-7445164,-8432051,-8235448,-7774132,-7247528,-4942711,-4086624,-11318191,-10725800,-5997458,-7971758,-8695991,-9157314,-8432829,-9286078,-7048086,-5598579,-10724251,-9540236,-7567221,-6777959,-6977654,-8688276,-8887206,-5929090,-4414561,-5992303,-6049607,-2102549,-5657673,-7439235,-7639965,-7313060,-7115939,-7445414,-7704981,-7111042,-4203033,-6373672,-8350810,-10657171,-13554894,-10729410,-8034737,-7969453,-12373454,-9021104,-7821891,-9074277,-10853265,-12106422,-11186356,-8757176,-8428471,-8494777,-9480640,-8958149,?
364,'2019/09/24 10:49:52:900',7,-10004402,-6583168,-9411493,-5657174,-7829369,-8690342,-7772588,-7904172,-7641769,-7772071,-10465204,-9412519,-8166053,-7508895,-6918816,-7182245,-7379623,-8036780,-6653581,-6914181,-7499882,-9413028,-9149597,-5790812,-7438982,-10074045,-11124414,-5336948,-3232086,-6255733,-8618620,-10199198,-9146256,-5594722,-7502974,-10794945,-9349825,-3232349,-2574156,-4283229,-11384243,-10398121,-6061966,-7445420,-8432052,-8235448,-7839668,-7313063,-4942712,-4086368,-11317935,-10725799,-5997203,-7971758,-8695992,-9157315,-8432829,-9220541,-7048086,-5533043,-10724251,-9539979,-7567735,-6778216,-6977911,-8688276,-8887462,-5929091,-4414305,-5992303,-6049607,-2036756,-5525574,-7438723,-7705757,-7313060,-7116194,-7445415,-7704981,-7111042,-4137496,-6373672,-8350810,-10591636,-13554895,-10729410,-8034737,-7969453,-12307918,-9086640,-7821891,-9074277,-10853265,-12171958,-11186356,-8822457,-8428471,-8494522,-9480639,-8958149,?
365,'2019/09/24 10:49:52:933',7,-10069937,-6583168,-9411493,-5657174,-7894905,-8755622,-7772588,-7904172,-7641769,-7772071,-10465204,-9478055,-8165797,-7508382,-6984096,-7116709,-7379367,-8037035,-6719373,-6848646,-7499882,-9413028,-9084319,-5922397,-7504775,-10270654,-11124414,-5337203,-3297622,-6255732,-8618620,-10199454,-9146256,-5594722,-7502974,-10729664,-9415361,-3232349,-2574156,-4283229,-11318963,-10463656,-6061966,-7510956,-8432051,-8169912,-7774131,-7313062,-4877432,-4086368,-11317936,-10725800,-5997202,-7971758,-8695991,-9157314,-8432828,-9220797,-7048086,-5598579,-10723995,-9474442,-7567992,-6778474,-7043447,-8688276,-8887462,-5929091,-4414305,-5926511,-5983815,-2036499,-5393988,-7438721,-7705757,-7378596,-7115938,-7445415,-7704982,-7111042,-4203032,-6308136,-8416346,-10591636,-13554894,-10729409,-8034737,-7969197,-12307918,-9086896,-7821891,-9139812,-10918801,-12171958,-11120820,-8822712,-8363191,-8494521,-9546176,-8892614,?
366,'2019/09/24 10:49:52:968',7,-10004401,-6583168,-9411492,-5657175,-7829369,-8755877,-7772588,-7838637,-7641514,-7772071,-10530739,-9543592,-8165797,-7377052,-6918559,-7116453,-7379366,-7971500,-6784910,-6914182,-7499883,-9347492,-9084576,-5922654,-7570310,-10336190,-11255486,-5402740,-3297366,-6255733,-8553084,-10199453,-9211792,-5594467,-7502973,-10729408,-9415362,-3232349,-2574155,-4283229,-11318963,-10463657,-6062222,-7445420,-8432052,-8169911,-7839412,-7247527,-4942968,-4086368,-11383471,-10725800,-5997203,-8037294,-8695991,-9157058,-8432830,-9220541,-7048343,-5598579,-10723994,-9474186,-7567993,-6778474,-7043704,-8688276,-8887207,-5994628,-4414306,-5926511,-6049351,-2035986,-5327937,-7438464,-7705758,-7378852,-7115938,-7445415,-7639702,-7176835,-4137496,-6308136,-8350810,-10657171,-13554894,-10729410,-8034737,-7969197,-12307661,-9086896,-7821635,-9074277,-10853265,-12171958,-11120819,-8757175,-8362935,-8494521,-9480639,-8958150,?
367,'2019/09/24 10:49:53:000',7,-10069937,-6583168,-9411493,-5657174,-7829368,-8755877,-7772588,-7838636,-7576234,-7706535,-10465203,-9543593,-8165540,-7376795,-6918303,-7050917,-7379366,-8037036,-6785166,-6848902,-7434347,-9347236,-9084576,-5922911,-7570053,-10401726,-11255742,-5402739,-3231830,-6255733,-8618620,-10199197,-9146256,-5594723,-7502973,-10729409,-9349826,-3232349,-2574156,-4283484,-11318707,-10463657,-6061966,-7445419,-8432051,-8169912,-7774132,-7313063,-4877432,-4086369,-11317936,-10660264,-5997203,-7971758,-8695991,-9157314,-8432830,-9220541,-7048087,-5598579,-10723994,-9474185,-7568249,-6778731,-7043704,-8622996,-8887206,-5929092,-4414305,-5926511,-6049351,-1970449,-5130301,-7438206,-7771549,-7378853,-7115938,-7445415,-7705238,-7176835,-4137496,-6373672,-8350810,-10591380,-13554895,-10729410,-8034738,-7969453,-12242125,-9218224,-7821891,-9074277,-10853264,-12106422,-11186356,-8757175,-8428471,-8494521,-9480640,-8958406,?
368,'2019/09/24 10:49:53:034',7,-10004400,-6583168,-9411493,-5657174,-7829368,-8821414,-7772588,-7838636,-7576233,-7706534,-10465203,-9543848,-8165540,-7376538,-6918303,-7050917,-7379366,-8037036,-6785166,-6914438,-7434347,-9347491,-9084576,-5988448,-7569796,-10467518,-11255743,-5402740,-3231830,-6255734,-8618620,-10199454,-9146255,-5594466,-7502974,-10729409,-9349826,-3232349,-2574156,-4283228,-11318707,-10398120,-6061966,-7445420,-8432052,-8169912,-7774132,-7313064,-4942967,-4086368,-11318191,-10725799,-5997202,-7971758,-8695991,-9157059,-8432829,-9220797,-7048343,-5598579,-10723994,-9473928,-7568250,-6844267,-7043961,-8688532,-8887463,-5994628,-4414306,-5860974,-6049351,-1970193,-5130043,-7437949,-7771293,-7378853,-7181474,-7445414,-7704983,-7176836,-4137497,-6373672,-8416346,-10657172,-13554894,-10729410,-8034737,-7969197,-12241869,-9218225,-7821891,-9074277,-10853265,-12171958,-11120820,-8756920,-8428471,-8428985,-9480641,-8958406,?
369,'2019/09/24 10:49:53:067',7,-10004401,-6648704,-9411493,-5657174,-7894905,-8755878,-7772588,-7838636,-7575978,-7706536,-10464948,-9609384,-8165539,-7310746,-6918302,-7116452,-7444902,-8037036,-6850703,-6979975,-7499883,-9347235,-9019041,-6054240,-7569795,-10467262,-11321279,-5402740,-3297366,-6321270,-8618620,-10199198,-9146255,-5594466,-7502973,-10794944,-9415361,-3232349,-2574156,-4283229,-11318707,-10463657,-6061966,-7445420,-8432051,-8169912,-7774132,-7313063,-4942968,-4086368,-11318190,-10725799,-5931923,-7971758,-8695991,-9157314,-8432829,-9286333,-7113879,-5598579,-10723995,-9473927,-7568250,-6844267,-7109497,-8688532,-8887462,-5994628,-4414562,-5926510,-6049351,-2035728,-5064251,-7437948,-7771293,-7378853,-7115937,-7445415,-7705238,-7242627,-4203032,-6373672,-8350810,-10656916,-13554894,-10729410,-8100273,-7969197,-12176333,-9218481,-7821891,-9074276,-10853265,-12106422,-11120820,-8822456,-8428471,-8428984,-9480641,-8958406,?
370,'2019/09/24 10:49:53:100',7,-10069936,-6583168,-9411493,-5657174,-7894648,-8821413,-7772588,-7904172,-7575978,-7772071,-10465203,-9609383,-8165284,-7310745,-6918302,-7116452,-7379367,-8037036,-6850959,-6914437,-7499882,-9347236,-9019296,-6054241,-7569795,-10467262,-11321279,-5402996,-3232086,-6321269,-8553084,-10199198,-9146256,-5594467,-7502717,-10794944,-9415361,-3232349,-2574156,-4283228,-11384243,-10463401,-6061966,-7510700,-8432052,-8169912,-7774132,-7313064,-4942967,-4086368,-11317934,-10725800,-5997458,-7971758,-8695992,-9157314,-8432828,-9220797,-7113879,-5598579,-10723995,-9473927,-7568250,-6844267,-7109498,-8688532,-8887463,-5994885,-4414561,-5860974,-5983815,-1904657,-5063994,-7372155,-7836829,-7444388,-7181474,-7445415,-7639702,-7176836,-4137497,-6373672,-8350809,-10656916,-13554894,-10794946,-8034738,-7969196,-12176332,-9218482,-7821635,-9074277,-10853265,-12106422,-11186356,-8757177,-8428471,-8494522,-9480896,-8958406,?
371,'2019/09/24 10:49:53:133',7,-10004401,-6583168,-9345956,-5657174,-7829368,-8821412,-7772332,-7838893,-7575978,-7706534,-10465204,-9674920,-8165284,-7244953,-6918302,-7050661,-7379366,-7971500,-6850959,-6914438,-7434347,-9347235,-9084577,-6054497,-7635075,-10401726,-11321279,-5468533,-3231831,-6321269,-8618620,-10199197,-9146512,-5594467,-7502717,-10794945,-9350082,-3232349,-2574156,-4283229,-11384243,-10463657,-6061966,-7445163,-8497588,-8169912,-7774131,-7313319,-4942968,-4086369,-11317935,-10660263,-5997458,-7971758,-8695992,-9222850,-8432829,-9220798,-7113879,-5598579,-10723994,-9473926,-7568249,-6844267,-7109753,-8688532,-8952999,-5994885,-4414561,-5926511,-6049351,-1904656,-4998201,-7372154,-7836829,-7444389,-7115937,-7445415,-7639446,-7242371,-4203033,-6373671,-8350809,-10591380,-13554638,-10729410,-8034736,-7969197,-12176333,-9283761,-7821891,-9074277,-10853264,-12106422,-11120820,-8822711,-8428471,-8428986,-9480896,-8892870,?
372,'2019/09/24 10:49:53:167',7,-10004401,-6583168,-9411493,-5657174,-7894904,-8821413,-7772588,-7904174,-7575978,-7706535,-10465203,-9609384,-8165538,-7245208,-6918302,-7050916,-7444903,-7971244,-6850703,-6979975,-7499627,-9412771,-9084577,-6054497,-7635075,-10467262,-11321534,-5402996,-3297366,-6255989,-8618620,-10199197,-9146256,-5594467,-7502717,-10729409,-9349826,-3232349,-2639692,-4283229,-11318963,-10463657,-6061966,-7445163,-8432051,-8169912,-7774132,-7313063,-4942968,-4086369,-11317935,-10725800,-5997202,-7971758,-8695735,-9157315,-8432829,-9286333,-7113879,-5598835,-10789531,-9473927,-7568249,-6844267,-7109754,-8688532,-8952999,-5994884,-4414561,-5926510,-6049351,-1904656,-4997945,-7371897,-7836829,-7444389,-7115938,-7445415,-7639446,-7176835,-4137497,-6308136,-8350810,-10656916,-13554894,-10729409,-8034737,-8034733,-12241869,-9218224,-7821890,-9074276,-10918801,-12106422,-11120820,-8756919,-8363190,-8428985,-9480640,-8892871,?
373,'2019/09/24 10:49:53:202',7,-10004144,-6583168,-9345957,-5657174,-7829368,-8755877,-7772588,-7838636,-7575977,-7706536,-10464947,-9609384,-8165539,-7245210,-6918302,-7050660,-7379366,-7971244,-6785167,-6914182,-7434091,-9412772,-9019041,-6054241,-7569539,-10467518,-11387072,-5402996,-3231830,-6321270,-8553084,-10199197,-9146256,-5528931,-7502973,-10794945,-9415362,-3232349,-2574156,-4283229,-11318707,-10398120,-6061966,-7445164,-8432052,-8169656,-7839668,-7313063,-4942967,-4086368,-11317936,-10660264,-5997203,-7971758,-8695735,-9157315,-8432830,-9286333,-7113879,-5598579,-10723995,-9473927,-7567994,-6844268,-7109754,-8688533,-8952999,-5994627,-4414306,-5926511,-6049351,-1904656,-4998201,-7437434,-7836829,-7378853,-7181474,-7445415,-7639446,-7176834,-4203032,-6308136,-8416346,-10591379,-13554894,-10729410,-8034738,-7969197,-12241869,-9218225,-7821890,-9074277,-10918800,-12106422,-11120819,-8822712,-8428471,-8428985,-9480640,-8892614,?
374,'2019/09/24 10:49:53:235',7,-9938608,-6582912,-9345957,-5657174,-7894648,-8755877,-7707051,-7838636,-7641514,-7772071,-10464947,-9609129,-8165539,-7310746,-6918302,-7050917,-7379366,-7971244,-6785166,-6914437,-7434346,-9347236,-9084576,-5988704,-7569539,-10467262,-11387071,-5402740,-3297366,-6321269,-8618620,-10264733,-9146256,-5594466,-7502717,-10729408,-9415617,-3232349,-2639692,-4283229,-11318962,-10463657,-6061966,-7445164,-8432051,-8169912,-7774132,-7313319,-4942967,-4086368,-11317935,-10660264,-5997203,-7971502,-8695735,-9157314,-8498366,-9220797,-7113879,-5598579,-10723995,-9473927,-7567993,-6778731,-7109754,-8688533,-8952999,-5994627,-4414561,-5926511,-6049351,-1904656,-5063994,-7372155,-7836829,-7378853,-7181473,-7445415,-7639445,-7111042,-4137497,-6308136,-8350810,-10656916,-13554638,-10794946,-8034738,-7969197,-12241869,-9152689,-7821890,-9074020,-10918801,-12106422,-11120820,-8822712,-8428471,-8428985,-9480896,-8892614,?
375,'2019/09/24 10:49:53:267',7,-9938608,-6583167,-9411492,-5657174,-7829368,-8821413,-7772587,-7838636,-7641514,-7706535,-10464947,-9609128,-8165540,-7311002,-6918302,-7050916,-7379366,-7971499,-6784910,-6914437,-7434347,-9412771,-9084576,-5988448,-7569539,-10467262,-11387072,-5402740,-3231830,-6321269,-8618620,-10199197,-9146256,-5594466,-7502717,-10794945,-9415362,-3232605,-2639692,-4283485,-11318707,-10463657,-6061966,-7445164,-8432051,-8169656,-7839411,-7313319,-4942968,-4086368,-11317935,-10725800,-5997202,-7971758,-8695735,-9157059,-8432830,-9220797,-7113879,-5598835,-10723995,-9473927,-7567992,-6778474,-7109498,-8688533,-8952999,-5994627,-4414561,-5926510,-6049351,-1970192,-5064251,-7372155,-7771293,-7378853,-7115938,-7379879,-7639189,-7111042,-4203032,-6308136,-8350810,-10656915,-13554638,-10794946,-8034736,-7969197,-12242125,-9218225,-7756354,-9074276,-10853265,-12106422,-11186355,-8757175,-8428471,-8428985,-9546432,-8892869,?
376,'2019/09/24 10:49:53:300',7,-9938608,-6583167,-9345957,-5657174,-7829112,-8755877,-7772332,-7838636,-7641514,-7772071,-10399411,-9609129,-8165539,-7310746,-6918303,-7050917,-7379367,-8037035,-6784910,-6914181,-7434091,-9347235,-9084575,-5988448,-7569539,-10467518,-11387071,-5402740,-3297366,-6321269,-8618620,-10199198,-9146256,-5528931,-7502717,-10729664,-9349825,-3232349,-2639692,-4348765,-11318706,-10398121,-6061966,-7445164,-8431795,-8169656,-7839668,-7313063,-4942968,-4151904,-11317935,-10725799,-5931666,-7971758,-8695991,-9157314,-8432830,-9220797,-7113879,-5598579,-10723994,-9473928,-7567992,-6778474,-7043962,-8688532,-8952999,-5929091,-4414562,-5926510,-6049351,-1904913,-5130044,-7372413,-7771293,-7378852,-7115937,-7445415,-7573652,-7045249,-4137497,-6373671,-8350809,-10657171,-13554894,-10729410,-8034736,-7969196,-12242125,-9218224,-7821890,-9074277,-10853265,-12106166,-11186356,-8822456,-8362935,-8494522,-9546432,-8892613,?
377,'2019/09/24 10:49:53:333',7,-9938608,-6583167,-9411493,-5657174,-7829368,-8755877,-7772332,-7838637,-7641770,-7706534,-10399410,-9543592,-8165284,-7311002,-6918302,-7116197,-7379366,-7971499,-6784911,-6979973,-7434091,-9347235,-9019041,-5988704,-7569539,-10401727,-11386815,-5402740,-3297366,-6321525,-8618620,-10199197,-9146256,-5528931,-7502973,-10729665,-9349825,-3232348,-2574412,-4283229,-11318962,-10398120,-6061966,-7445164,-8432052,-8169656,-7774132,-7313063,-4942968,-4086368,-11317935,-10725800,-5931666,-8037294,-8695735,-9157059,-8432829,-9286333,-7113879,-5598579,-10723994,-9473928,-7567992,-6844010,-7109754,-8688533,-8887462,-5929091,-4414562,-5926510,-6049350,-1970193,-5130301,-7372414,-7705757,-7378852,-7115938,-7379878,-7507859,-7045248,-4203033,-6373672,-8350810,-10657172,-13554639,-10663874,-8100017,-7969196,-12242124,-9218225,-7821891,-9074277,-10918801,-12106422,-11186356,-8757176,-8428470,-8429241,-9481153,-8892612,?
378,'2019/09/24 10:49:53:366',7,-9873072,-6582912,-9345957,-5657174,-7829368,-8755878,-7772588,-7838636,-7641513,-7772071,-10464947,-9543592,-8165283,-7310747,-6918302,-7116197,-7379110,-8036779,-6785166,-6914437,-7434090,-9347236,-9084576,-5988704,-7569539,-10401982,-11321279,-5402740,-3297366,-6255989,-8618620,-10199198,-9146255,-5594467,-7502974,-10795200,-9349826,-3232349,-2639692,-4283229,-11384242,-10398121,-6061966,-7510700,-8432052,-8169912,-7774132,-7313063,-4942967,-4086368,-11317935,-10660264,-5997202,-8037294,-8695735,-9157058,-8432830,-9220542,-7113879,-5598579,-10723995,-9473928,-7567992,-6844011,-7109754,-8688532,-8952998,-5929091,-4414561,-5860718,-5983815,-1904913,-5196093,-7372670,-7705757,-7378853,-7115938,-7379878,-7507602,-6979712,-4203033,-6373672,-8416346,-10657172,-13554894,-10663873,-8034737,-7969195,-12241868,-9218480,-7821890,-9074277,-10853521,-12106422,-11120820,-8757176,-8428471,-8494777,-9612225,-8892613,?
379,'2019/09/24 10:49:53:400',7,-9938607,-6583167,-9345957,-5657174,-7829113,-8755877,-7772332,-7838635,-7576234,-7706535,-10464947,-9609128,-8165283,-7311002,-6918302,-7116452,-7379366,-8037036,-6785166,-6914182,-7434090,-9412772,-9084576,-5988704,-7569539,-10401726,-11321279,-5468532,-3231830,-6255733,-8618620,-10199198,-9146256,-5594467,-7502973,-10795200,-9349826,-3232605,-2574412,-4283485,-11318706,-10398121,-6061966,-7445164,-8497587,-8169912,-7839668,-7313063,-4942968,-4086368,-11317935,-10660264,-5931667,-7971758,-8695735,-9157058,-8432830,-9220797,-7113879,-5533043,-10723994,-9539719,-7567735,-6844010,-7109754,-8688532,-8952999,-5929091,-4414561,-5860718,-6049350,-1970449,-5261887,-7372671,-7705756,-7378852,-7181473,-7379623,-7376530,-6979456,-4137497,-6373672,-8350810,-10657172,-13554895,-10729410,-7969201,-7903660,-12176332,-9284273,-7821890,-9074277,-10853265,-12106423,-11120820,-8822711,-8428471,-8494777,-9677761,-8826821,?
