@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute inputs-21 numeric
@attribute inputs-22 numeric
@attribute inputs-23 numeric
@attribute inputs-24 numeric
@attribute inputs-25 numeric
@attribute inputs-26 numeric
@attribute inputs-27 numeric
@attribute inputs-28 numeric
@attribute inputs-29 numeric
@attribute inputs-30 numeric
@attribute inputs-31 numeric
@attribute inputs-32 numeric
@attribute inputs-33 numeric
@attribute inputs-34 numeric
@attribute inputs-35 numeric
@attribute inputs-36 numeric
@attribute inputs-37 numeric
@attribute inputs-38 numeric
@attribute inputs-39 numeric
@attribute inputs-40 numeric
@attribute inputs-41 numeric
@attribute inputs-42 numeric
@attribute inputs-43 numeric
@attribute inputs-44 numeric
@attribute inputs-45 numeric
@attribute inputs-46 numeric
@attribute inputs-47 numeric
@attribute inputs-48 numeric
@attribute inputs-49 numeric
@attribute inputs-50 numeric
@attribute inputs-51 numeric
@attribute inputs-52 numeric
@attribute inputs-53 numeric
@attribute inputs-54 numeric
@attribute inputs-55 numeric
@attribute inputs-56 numeric
@attribute inputs-57 numeric
@attribute inputs-58 numeric
@attribute inputs-59 numeric
@attribute inputs-60 numeric
@attribute inputs-61 numeric
@attribute inputs-62 numeric
@attribute inputs-63 numeric
@attribute inputs-64 numeric
@attribute inputs-65 numeric
@attribute inputs-66 numeric
@attribute inputs-67 numeric
@attribute inputs-68 numeric
@attribute inputs-69 numeric
@attribute inputs-70 numeric
@attribute inputs-71 numeric
@attribute inputs-72 numeric
@attribute inputs-73 numeric
@attribute inputs-74 numeric
@attribute inputs-75 numeric
@attribute inputs-76 numeric
@attribute inputs-77 numeric
@attribute inputs-78 numeric
@attribute inputs-79 numeric
@attribute inputs-80 numeric
@attribute inputs-81 numeric
@attribute inputs-82 numeric
@attribute inputs-83 numeric
@attribute inputs-84 numeric
@attribute inputs-85 numeric
@attribute inputs-86 numeric
@attribute inputs-87 numeric
@attribute inputs-88 numeric
@attribute inputs-89 numeric
@attribute inputs-90 numeric
@attribute inputs-91 numeric
@attribute inputs-92 numeric
@attribute inputs-93 numeric
@attribute inputs-94 numeric
@attribute inputs-95 numeric
@attribute inputs-96 numeric
@attribute inputs-97 numeric
@attribute inputs-98 numeric
@attribute inputs-99 numeric
@attribute inputs-100 numeric
@attribute outputs-1 {0,1,2,3,4,5,6,7}

@data
11,'2019/09/24 10:48:40:966',1,-8953000,-6386047,-9280679,-5986654,-8421763,-9545392,-9087676,-10403277,-8760777,-8564924,-10005426,-9609899,-9345955,-5724508,-8224898,-8295842,-8692407,-10927303,-4351855,-4085854,-7500656,-10069929,-9344664,-5855833,-8159617,-11188415,-12372428,-6981006,-2837330,-4678246,-8684928,-10397348,-9410198,-5990769,-8030349,-10862024,-9481412,-4022380,-2705742,-3889242,-11582393,-10661552,-6324881,-7642543,-7905968,-7314607,-7904948,-6984100,-4481902,-4283745,-11581878,-10989485,-6719122,-8628402,-8432564,-8170680,-8958144,-8957113,-6718606,-4743526,-11119009,-9801863,-7760994,-6709333,-6975853,-9279898,-9479603,-6653332,-4480870,-4809575,-6181451,-2167055,-5058076,-8220509,-10263959,-11386046,-8823222,-7113371,-3362643,-4874596,-5057566,-6966579,-8811875,-11183517,-13883347,-10926533,-8429239,-8429238,-5729910,-5334116,-8348752,-9535087,-11314586,-12369594,-11450298,-9086398,-8757949,-8824000,-8757948,-8691378,?
12,'2019/09/24 10:48:40:999',1,-9018535,-6386048,-9280679,-5986397,-8421764,-9480112,-9153469,-10403277,-8760521,-8564925,-10005427,-9609898,-9345955,-5724251,-8224898,-8295842,-8757944,-10861766,-4351854,-4085854,-7435376,-10069930,-9344664,-5855833,-8225154,-11188672,-12372428,-6849677,-2837586,-4743783,-8684928,-10331812,-9410199,-5990513,-8030349,-10862281,-9415876,-4021868,-2705743,-3954523,-11582393,-10596015,-6128272,-7774128,-7840175,-7314607,-7904949,-6984099,-4481901,-4349282,-11581878,-11055021,-6522258,-8694194,-8367028,-8170680,-8958144,-8957113,-6718605,-4743783,-11119010,-9736328,-7695458,-6775384,-7041646,-9345692,-9479603,-6653333,-4481126,-4875111,-6115915,-2167311,-5123612,-8220766,-10329495,-11386046,-8757686,-7113114,-3362900,-4874852,-5057822,-6966580,-8811875,-11183773,-13948883,-10860740,-8429239,-8429237,-5663860,-5334116,-8349008,-9469807,-11380123,-12304058,-11450299,-9086143,-8692413,-8823998,-8757947,-8625840,?
13,'2019/09/24 10:48:41:033',1,-9018536,-6320511,-9280934,-5986397,-8421763,-9545393,-9087931,-10403277,-8826313,-8564926,-10070962,-9609899,-9345955,-5724252,-8290433,-8295843,-8692408,-10927302,-4417391,-4085855,-7500655,-10135466,-9344920,-5855833,-8225153,-11188416,-12372429,-6915213,-2837331,-4678246,-8750465,-10331812,-9410198,-6056305,-8030349,-10927817,-9415877,-4021867,-2705743,-3954523,-11582393,-10596015,-6062480,-7905457,-7774382,-7380143,-7904948,-6983843,-4416108,-4349281,-11647158,-10989229,-6456466,-8694195,-8432565,-8170681,-9023681,-9022905,-6784142,-4677990,-11053729,-9736327,-7695458,-6841433,-7041646,-9345435,-9479603,-6718868,-4546663,-4809575,-6115659,-2167055,-5123612,-8220766,-10329495,-11386046,-8757686,-7047321,-3362900,-4874852,-5123358,-6966835,-8811875,-11183773,-13948883,-10860997,-8429239,-8429238,-5532787,-5268324,-8349007,-9535343,-11314587,-12304058,-11450298,-9020862,-8757948,-8823998,-8757948,-8625585,?
14,'2019/09/24 10:48:41:065',1,-9018537,-6320511,-9280679,-5986654,-8421763,-9545392,-9087676,-10403278,-8891850,-8565183,-10005426,-9675435,-9345700,-5724508,-8224897,-8295842,-8626871,-10993095,-4483185,-4020062,-7500656,-10135466,-9344664,-5921369,-8159618,-11122879,-12372684,-6915727,-2771794,-4612710,-8684928,-10331812,-9410199,-6056562,-7964813,-10862025,-9481668,-4087660,-2705742,-3954523,-11582393,-10596015,-6062480,-7905458,-7774382,-7379887,-7904948,-6983843,-4416365,-4283745,-11647414,-10989485,-6390930,-8694450,-8432820,-8236217,-8958145,-9022906,-6784398,-4677990,-11119009,-9801864,-7695458,-6907226,-7041390,-9279898,-9545139,-6653588,-4546663,-4875111,-6181451,-2232591,-5058076,-8220509,-10263703,-11386046,-8823222,-6981528,-3362900,-4874852,-5057822,-6966579,-8811875,-11183516,-13948882,-10926533,-8429239,-8429237,-5466993,-5334116,-8349008,-9469807,-11314586,-12304058,-11515834,-9086398,-8757948,-8823999,-8757948,-8625583,?
15,'2019/09/24 10:48:41:099',1,-8953256,-6320511,-9215398,-5986654,-8421763,-9545392,-9087676,-10403277,-8826313,-8696511,-10005426,-9675435,-9345955,-5724508,-8290433,-8295842,-8692407,-10927560,-4483441,-4020063,-7500911,-10069930,-9344664,-5921369,-8225154,-11122879,-12372429,-6915727,-2771795,-4677990,-8684928,-10331813,-9410199,-6122355,-7965070,-10862025,-9415877,-4087660,-2771535,-3954779,-11582393,-10596015,-5996689,-7971250,-7774382,-7380143,-7905205,-7049380,-4481900,-4349282,-11647414,-10989485,-6390931,-8759988,-8498357,-8170937,-8957889,-9022906,-6784398,-4743783,-11119265,-9801864,-7695202,-6972763,-7041389,-9279899,-9545139,-6653330,-4612454,-4875111,-6181708,-2232591,-5058076,-8220509,-10263703,-11386046,-8757686,-6849942,-3428436,-4940389,-5057566,-6966579,-8811875,-11117980,-13948883,-10860997,-8429239,-8363444,-5466480,-5399909,-8348751,-9535343,-11314587,-12369594,-11450299,-9020862,-8692412,-8823999,-8757948,-8625327,?
16,'2019/09/24 10:48:41:132',1,-8953256,-6386048,-9280679,-5921117,-8421764,-9545648,-9087932,-10403278,-8826057,-8696511,-10005427,-9609899,-9345954,-5724252,-8290434,-8295587,-8692408,-10993097,-4417906,-4020063,-7435120,-10069674,-9344664,-5855833,-8225154,-11188672,-12372684,-6981264,-2771794,-4612453,-8750464,-10331812,-9344406,-6122357,-8030863,-10862281,-9415876,-4022123,-2771535,-3889242,-11582393,-10596016,-5865361,-8102579,-7840174,-7380143,-7970741,-7115428,-4481902,-4349282,-11581877,-10989229,-6325394,-8825779,-8432820,-8236474,-8957889,-9088442,-6784398,-4743784,-11119009,-9801863,-7695457,-6907226,-7041389,-9345435,-9479603,-6521745,-4546662,-4875368,-6115915,-2167055,-5123612,-8220766,-10329496,-11385791,-8757685,-6784148,-3362900,-4940646,-5057822,-7032115,-8811876,-11183773,-13948883,-10860996,-8429239,-8363444,-5335150,-5465702,-8349007,-9535342,-11380123,-12369595,-11450298,-9020607,-8757949,-8823998,-8757947,-8625326,?
17,'2019/09/24 10:48:41:167',1,-9018536,-6386047,-9346215,-5920861,-8421763,-9545393,-9153212,-10403278,-8760777,-8696512,-10005426,-9609899,-9345955,-5724251,-8224897,-8295843,-8692408,-11058889,-4483441,-4020062,-7500656,-10069930,-9344664,-5855577,-8225153,-11188672,-12372429,-7112593,-2706257,-4480868,-8684928,-10331812,-9278870,-6122613,-7965328,-10862281,-9481413,-4087660,-2771535,-3823450,-11582393,-10596015,-5734288,-8037299,-7905967,-7445935,-7970997,-7247271,-4679023,-4217696,-11581621,-10923693,-6325394,-8825780,-8498357,-8302009,-8892352,-9088698,-6849934,-4678247,-11119010,-9736327,-7695201,-6906713,-7041389,-9345434,-9479603,-6521488,-4546662,-4875112,-6115659,-2167055,-5123612,-8220766,-10263960,-11386046,-8757686,-6783891,-3428436,-5006182,-5057822,-6966836,-8811876,-11183773,-13948883,-10860740,-8429240,-8363187,-5400943,-5465703,-8283472,-9535343,-11380379,-12369594,-11450298,-9086398,-8757949,-8823999,-8757947,-8625583,?
18,'2019/09/24 10:48:41:200',1,-9018536,-6320511,-9280679,-5986653,-8421763,-9545392,-9087676,-10403534,-8826313,-8630718,-10005426,-9609900,-9345955,-5724252,-8224898,-8295843,-8692408,-11124681,-4417648,-4020062,-7435120,-10069930,-9344664,-5855833,-8225153,-11122879,-12372685,-7244435,-2771794,-4349282,-8619647,-10331812,-9278871,-6122356,-7899535,-10796489,-9416132,-4087917,-2705999,-3691864,-11582393,-10596016,-5734287,-8102835,-7840431,-7380400,-7970997,-7444649,-4810867,-4020574,-11581877,-10989229,-6325394,-8825780,-8498100,-8236473,-8957888,-9154491,-6915727,-4677991,-11119265,-9736328,-7695202,-6841175,-7041389,-9345434,-9545139,-6455696,-4546662,-4875112,-6115915,-2167055,-5123612,-8220509,-10263703,-11386046,-8757686,-6784148,-3428437,-5006182,-5057822,-6966579,-8811875,-11183516,-13948883,-10860996,-8429238,-8363443,-5466736,-5531239,-8349007,-9469807,-11314587,-12304058,-11515835,-9020862,-8757948,-8823998,-8823484,-8691121,?
19,'2019/09/24 10:48:41:232',1,-9018535,-6320511,-9280678,-5986654,-8421763,-9545392,-9087677,-10403534,-8826313,-8564412,-10005426,-9609899,-9280419,-5724508,-8224897,-8295843,-8692407,-11058889,-4286062,-4020062,-7500656,-10135465,-9344665,-5855833,-8159362,-11122878,-12372686,-7178899,-2771794,-4283746,-8684928,-10331812,-9344407,-6122356,-7899278,-10796489,-9481412,-4021868,-2771279,-3626072,-11582393,-10596015,-5734031,-8168628,-7708846,-7380399,-7970997,-7576236,-4942452,-4020574,-11581878,-10989484,-6325394,-8891316,-8432563,-8236218,-8957888,-9154491,-6915728,-4677991,-11119009,-9801864,-7760737,-6841433,-7041646,-9345435,-9479603,-6390160,-4546662,-4875368,-6181452,-2167055,-5058076,-8220509,-10263703,-11386047,-8757686,-6784405,-3428436,-5006439,-5057566,-6966579,-8811875,-11117979,-13948883,-10926532,-8429239,-8363443,-5532786,-5531495,-8348751,-9469807,-11314330,-12369594,-11515834,-9086398,-8692412,-8823999,-8758203,-8691378,?
20,'2019/09/24 10:48:41:266',1,-9018536,-6386047,-9215398,-5921117,-8421763,-9545393,-9153469,-10403278,-8760521,-8433082,-10005427,-9609899,-9345955,-5724252,-8224897,-8295842,-8692408,-10993096,-4154476,-4085598,-7500656,-10135465,-9344664,-5855833,-8159617,-11188672,-12372429,-7112593,-2771794,-4349282,-8684928,-10331812,-9344406,-6121842,-7833485,-10862281,-9415876,-3890538,-2705743,-3691864,-11582393,-10596014,-5668238,-8234420,-7577260,-7380399,-8036532,-7576236,-4942196,-4020574,-11581621,-10923692,-6194066,-8891573,-8366771,-8170425,-9023681,-9154492,-6850192,-4743528,-11053473,-9736328,-7695202,-6907227,-7107697,-9411228,-9479603,-6455696,-4546663,-4940648,-6115915,-2167055,-5123612,-8220509,-10329495,-11386046,-8757686,-6784149,-3428693,-5006439,-5057822,-6966579,-8811875,-11183772,-13949138,-10860741,-8429239,-8363444,-5598580,-5597032,-8349008,-9535343,-11314587,-12304058,-11450043,-9086398,-8757949,-8823999,-8757947,-8757170,?
